id,name,type,behavior,hp_mult,atk_mult,spd_u,radius_u,mass,xp,env_home,first_chapter,ability,counter_tip
EN19,모래 소용돌이,normal,stationary,2.0,0.8,0,0.8,999,5,ENV06,CH21,"이동 불가. 반경 1.5u 인력(플레이어 1u/s). 20s 후 소멸","가장자리 우회"
EN20,열기 아지랑이,normal,chase,0.8,1.0,3.0,0.35,1,3,ENV06,CH21,"반투명. 어둠 지대에서만 완전 표시(시야 밖 위협)","봉화·시야 스킬"
EN21,성채 파수병 잔상,normal,shield,2.2,1.2,2.2,0.45,2,5,ENV07,CH14,"전방 방패: 정면 90° 투사체 차단(관통·폭발·장판·DoT는 통과)","측면·장판·DoT"
EN22,돌 가고일,normal,blink,1.5,1.3,0,0.5,3,5,ENV07,CH23,"정지 상태(피해 -50%)로 있다가 플레이어 4u 접근 시 활성화, 빠른 추적 3.5u/s","원거리에서 활성화 전 처치"
EN23,성채 쇠뇌,normal,ranged,1.8,1.6,0,0.6,999,6,ENV07,CH26,"고정 포대. 5s마다 직선 볼트 3연발(속도 10u/s). 구조물 파괴 시 함께 파괴","구조물 파괴·우회"
EN24,깃발 잔상,normal,buff,1.0,0.6,2.0,0.4,1,5,ENV07,CH26,"반경 4u 아군 피해 +20%. 우선 처치","HIGHEST_HP"
EN25,강물 그림자,normal,chase,1.0,1.0,3.4,0.35,1,3,ENV08,CH31,"물 위에서 이동 속도 +50%(물 지형 태그)","안전 구역(다리) 활용"
EN26,급류 뱀,normal,dash,1.4,1.5,2.8,0.4,1,4,ENV08,CH31,"물에서만 등장. 수면 아래 잠수(피해 면역 2s) 후 튀어나옴(예고 0.8s)","예고 시 이동"
EN27,떠다니는 등불,normal,kite,0.6,0.7,3.0,0.3,0.5,4,ENV08,CH31,"플레이어와 거리 유지하며 2s마다 유도탄(속도 4u/s). 처치 시 광휘 +5","유도·연쇄"
EN28,익사자 무리,normal,surround,1.2,1.0,2.4,0.4,1,3,ENV08,CH31,"8마리 단위 원형 포위 배치, 포위 완성 시 동시 접근","범위·넉백"
EN29,서리 그림자,normal,chase,1.0,1.1,2.6,0.35,1,3,ENV09,CH37,"접촉 시 플레이어 둔화 20%(중첩 2)","둔화 저항"
EN30,얼음 조각상,normal,stationary,4.0,1.0,0,0.7,999,8,ENV09,CH37,"이동 불가. 파괴 시 반경 2u 빙결 폭발(적 포함 빙결)","적 밀집 시 파괴"
EN31,눈보라 정령,normal,ranged,0.9,1.0,2.5,0.35,1,4,ENV09,CH37,"3s마다 서리 파편 3발 부채꼴(플레이어 둔화)","측면 이동"
EN32,얼어붙은 사냥꾼,normal,ranged,1.6,1.5,2.0,0.45,2,6,ENV09,CH39,"8u 저격(예고 선 1.2s, 관통). 명중 시 빙결 0.5s","예고 선 벗어나기"
EN33,균열 촉수,normal,stationary,2.5,1.4,0,0.6,999,6,ENV10,CH43,"바닥에서 솟아남(예고 1s, 반경 1u). 3s 후 사라짐. 웨이브당 8~15개","예고 원 회피"
EN34,심연 시선,normal,blink,1.3,1.2,1.8,0.4,1,5,ENV10,CH42,"응시 3s 후 플레이어 시야 -30% 2s(중첩 없음). 6s마다 순간이동","우선 처치"
EN35,공허 벌레,normal,split,1.0,0.7,3.0,0.35,1,3,ENV10,CH41,"사망 시 2마리로 분열(체력 50%, 크기 0.25u), 최대 2세대","즉발 범위"
EN36,그림자 사제,normal,summon,1.8,0.8,1.5,0.45,2,7,ENV10,CH45,"6s마다 EN01 3마리 소환(최대 9). 우선 처치","HIGHEST_HP·유도"
EN37,어둠 병정,normal,chase,2.0,1.4,2.8,0.45,2,5,ENV10,CH45,"어둠 지대에서 이동 속도 +40%, 피해 +20%","봉화 근처 전투"
EN38,불타는 잔해,normal,trail,1.1,1.0,3.0,0.35,1,3,ENV06,CH21,"이동 궤적에 1.5s 화염(플레이어 화상 1중첩)","원거리 처치"
EN39,공명 종,normal,buff,1.5,0.4,0,0.5,999,6,ENV03,CH10,"5s마다 반경 5u 아군 보호막(체력 10%) 부여. 우선 처치","표식·HIGHEST_HP"
EN40,황혼 기사,normal,shield,3.0,1.5,2.0,0.5,3,8,ENV07,CH20,"전방 방패 + 3s마다 돌진 베기(예고 0.8s, 전방 2u). 넉백 저항","측면·DoT·장판"
EL01,거대 잔해,elite,chase,25,2.0,2.2,0.9,5,40,ENV01,CH01,"넉백 저항. 사망 시 EN01 6마리","관통·집중 화력"
EL02,황혼 알파 늑대,elite,dash,20,2.2,4.0,0.7,4,40,ENV01,CH03,"돌진(예고 1s, 10u/s) 후 EN12 무리 5마리 소환","돌진 회피 후 무리 정리"
EL03,철벽 파수병,elite,shield,35,1.8,1.8,0.8,6,50,ENV02,CH02,"전신 방패 회전(3s마다 정면 방향 변경, 정면 투사체 차단)","DoT·장판·후면"
EL04,안개 어머니,elite,summon,22,1.2,1.5,0.8,5,45,ENV04,CH05,"4s마다 EN08 유령 2마리 소환. 반경 4u 시야 -40%","우선 집중"
EL05,갱도 폭주 기관차,elite,dash,30,2.5,3.0,1.0,8,55,ENV05,CH12,"레일(직선) 왕복 돌진(예고 1.5s). 레일 위 접촉 즉시 넉백 3u","레일 밖 유지"
EL06,사금왕,elite,kite,15,0.8,4.5,0.6,3,120,ENV05,CH15,"도주형. 처치 시 골드 ×20, 보석 특대. 25s 후 소멸","유도·인력"
EL07,유리 거상,elite,stationary,40,2.0,0,1.2,999,60,ENV06,CH21,"이동 불가. 6s마다 반경 6u 열기 파동(예고 1.5s, 파동 통과 시 화상 2)","파동 예고 시 벗어나기 또는 접근"
EL08,파쇄자,elite,chase,28,2.4,2.6,0.9,6,50,ENV07,CH20,"소환체·포탑·지뢰·결정에 접촉 시 즉시 파괴. 플레이어 우선이 아니라 소환체 우선 추적","소환체를 미끼로 활용"
EL09,급류의 군주,elite,summon,26,1.6,2.8,0.9,5,50,ENV08,CH31,"물 위에서 잠수(면역) 후 EN26 3마리와 함께 부상","다리(안전 구역)에서 유도"
EL10,서리 거인,elite,chase,38,2.2,1.8,1.1,8,60,ENV09,CH37,"발걸음마다 반경 2u 서리(플레이어 둔화 30%). 체력 50% 이하 시 EN30 조각상 2개 생성","둔화 저항·원거리"
EL11,심연 예언자,elite,summon,24,1.4,1.6,0.8,5,55,ENV10,CH41,"8s마다 EN33 촉수 6개 소환. 3s 응시 후 플레이어 위치에 촉수 1개 직접 소환","계속 이동"
EL12,황혼 사냥개 두목,elite,surround,22,2.0,3.6,0.8,4,45,ENV01,CH09,"EN12 10마리 동반 등장. 두목 사망 시 무리 광폭(속도 +50%, 10s)","무리 먼저 정리"
